name,link,price
HP EliteBook Laptop Light Gaming PC Core i5 16GB RAM 512GB SSD Windows 11 Pro,https://www.ebay.com/itm/264714553889?_skw=laptop&itmmeta=01JRCNSDMAZWSE1FE3M5ATXWAC&hash=item3da2378a21:g:zZQAAOSwX41n7zAA&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fa6JnZl0PJbbL%2BlOGwiNDJkUNNXCiN0MGa%2BY0GE548Mbkorvfno74%2FZz%2BhqYy2ogdmZhdrc1z8F68xgeSq9uJ8eeKwSSEczSux5G7i22IqOsPeXbsht6ZAuPYMPunTb1SQ6b90qRq%2FNGk0cTH4gl36Xzbp4T%2B%2BFOQ3I1sfuyOcFK1TP7oIblweWyaWyADJ9jZkfI33huJDUe2Rli8%2B%2Bcbytbob58UnTSoqZvQmAKe%2B1Q%3D%3D%7Ctkp%3ABlBMUN7a5ZXDZQ,not found
"Dell Latitude 3310 Laptop PC Computer 13.3"" Core i3 8GB RAM 512GB SSD Windows 11",https://www.ebay.com/itm/254654754368?_skw=laptop&itmmeta=01JRCNSDMADB3V8C3EE3ERJ8FE&hash=item3b4a9b2e40:g:eUAAAOSwzktn9dpe&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1eeiChS4Pan%2B9jtum342sREamoe9ueRg0gxTTfF4wdYU2gNHTEqLgjyOIHttl6ai3wsiFAI05QMaCXRU8k16ogYP8iaeLvy2IP0YlbUSaEkC7%2BH%2FHQiWAp53jDEeavCBoHrLfPAlC6Z9iqODD9z5GtYz114GbzHb9yh9gJY3zRf%2Fws0%2FdPy9RSbHW5dpsiO2EGFbLofGW%2B5V4m7NPQBhGqhEArvuOml2i7X2VYZfbsymQ%3D%3D%7Ctkp%3ABlBMUN7a5ZXDZQ,not found
"Dell Laptop PC Computer 13.3"" Intel Celeron Windows 10 4GB RAM 128GB SSD WiFi",https://www.ebay.com/itm/263591761893?_skw=laptop&itmmeta=01JRCNSDMAWN7PRE9APF4D1P5N&hash=item3d5f4b17e5:g:1agAAOSwuWln8Ioj&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1e8mLXZTaHCda3GF16NuH2yJTvGMV%2BgtbEm%2FIJuGiDshNHVyozkPjP5qVwXBAzDuOO4eh7JtqPxmdQuRBLhi7aACYo288QRtzeQNpK1Xt70G3ZiG6QDlCnQRPa%2BhuHu4Q07%2B0dEfmxox0UVpqgSYhTPBNj3Sjey8Fr4gjjJdRqeF%2Bbr8wI6fgcWNqd%2F6i9F%2Bz%2BUILz77mvO4OlF0ebrSpmtCqqHnn2D1trMHtaJCWD6zQ%3D%3D%7Ctkp%3ABlBMUN7a5ZXDZQ,not found
Dell Precision 7520 Business Laptop Core i7 3.8GHz 32GB 256GB SSD Windows 10,https://www.ebay.com/itm/256714410251?_skw=laptop&itmmeta=01JRCNSDMA52FXKCWEHCA6WAQP&hash=item3bc55f090b:g:fpEAAOSwPI9n3~if&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cZY%2F3r6SuALPnFqEe4z%2FS%2FyGlaTQPqL1QosCriX158ztxm4e5SVuQ1Wc3beBFQyV7oTBMf6DNEwym%2FOgwjrOklBoSgHZIEslEuI2OyseJEM9rqXToN77jnpgNUlTs42tDTiyd%2BnTCStbxp3SpaVMat8J8O8zn%2FLXEuxaExZWXld%2Bg3AJIuM9aoJRN1rXUBA6jsdkiO3C3TNLLN247vwQ1JCUICduoArZrIN2RREOhAQA%3D%3D%7Ctkp%3ABlBMUN7a5ZXDZQ,not found
"Dell 15.6"" Touchscreen Laptop Windows 11 Intel Core i5 4.40 GHz 64GB RAM 4TB SSD",https://www.ebay.com/itm/335720448847?_skw=laptop&itmmeta=01JRCNSDMA5H75DJ572SC63JF2&hash=item4e2a7f834f:g:gvIAAOSwmrxn8W30&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fTwFRQsjIc%2Fe5Xo2mKsbOzTO2jlQ7MTQN3f8wF5sFgpkWPkCzxfNPfqytwREuWsO%2FltUpZG3lMOcrZEyUmODWvkt29yukFpgYQ3OMxZ7zxwK6fjhKFtpv0T7Ly1wBMyvdEyl0V0RJZiYyKBbIgNaCDVIXLn%2BbYwJrJj9cNjx102wHrTvy4vjcaULT85Nytcx5i8reNnOcn99ct33i8TE%2F2bilXcFE9KdHgDd7XqO%2Fbcg%3D%3D%7Ctkp%3ABk9SR97a5ZXDZQ,not found
"Dynabook PORTEGE X30W-J Intel i5 1135G7 2.40GHz 16GB RAM 256GB SSD 13.3"" Win 11",https://www.ebay.com/itm/186741965956?_skw=laptop&itmmeta=01JRCNSDMAKFT2C1NHCTPNX6TT&hash=item2b7ab04484:g:VsAAAOSwGh9nF1dg&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fJ1z1AVkjyt3KEQHa053HeXv5FSc14Y%2FhLJ53LYB3P2JkroqfsipA0gd7EbFLtQblAUmhlo2Hs5yil%2F4iQ3fwiqImbHJkSFh7t5GjXZQob0xMYF2iwyh01FC7IQPQYxQbAvzeOrI9fCSA%2BmnramMq8tcPONr66McdC4wPi%2BrrvmdVqKUSOISYicPIW9YkS3qYhMjaBSLJgk%2BEcQ1kZonTckUpA0PUIjJ6okVFeDpxHkGfRsbR9k%2F1Clv%2BHvtzxyn1oLGYNui8MPPV5GWKzmPdM%7Ctkp%3ABk9SR97a5ZXDZQ,not found
"Dell Latitude Laptop PC Computer 15.6"" HD Core i5 16GB RAM 256GB SSD Windows 10",https://www.ebay.com/itm/256520136672?_skw=laptop&itmmeta=01JRCNSDMATQNV30THPKH68XZK&hash=item3bb9caa7e0:g:fr8AAOSwo~5n9Inv&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1egXeuUv5XgIGQB9nCwiuqTY74axt9fb4SY3WDv1XZyny1pxyKVUyZdaOpKaUc8Q62rdp7CNBWyhtE7C55SM3XKmkg7afd2KZiVujaAtcbl2vF62aG%2FJpfAsuxqQ5wn8QTDlXCHoCsoHu06NpMQ%2FCFiXjCaSu4t%2FblDKykSckWgUYwBR8n5FB7A48T3%2Bkdza7o%2Fy93EkQuulYQl6Rej9kMxXFZ%2BdeVUu7ZPzWEn2K97Q6D%2BofuEE7TwFSZxxraINIDBszZk2rmDWZJItutMEHrL%7Ctkp%3ABk9SR97a5ZXDZQ,not found
"HP ProBook 640 G5 Laptop 14"" Windows 11 Quad-Core i5 4.1GHz 8GB RAM 128GB SSD",https://www.ebay.com/itm/254582474636?_skw=laptop&itmmeta=01JRCNSDMA90EZT6MJJ2CHCDP2&hash=item3b464c478c:g:EhEAAOSwM6hn0vKp&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eidqUdU4Y5TVSG2GXGhsRUmBuRmZWVpBgGu%2FeBR5ErT071dVa5pUt2N9f%2BpSYbLl%2BfRhzSegisUiS4ukz4J9eB0VFKHcwdbm7GtkEclxZ6mOYEe63%2FQ5QuGPHb2w9cS8NLXK7eOWV%2BE5XsbHOTLBzYY73K%2Flv2VEDyDDCAKZ%2FgaYtwzoLT84wDsA%2FW8UQ19PGwLFdvAG3Iqr4vG0XxRMvh90E%2Bp0ainbCcULvmPKverhD9jLVE1806GCW5Z6Ll2vmEi80w25QKO15r%2FaJ9PrId%7Ctkp%3ABk9SR-Da5ZXDZQ,not found
"Dell Latitude 7210 2-in-1 Intel i5 10310U 1.70GHz 8GB RAM 256GB SSD 12.3"" FHD Wi",https://www.ebay.com/itm/204678924948?_skw=laptop&itmmeta=01JRCNSDMASGVETP98YR052SQC&hash=item2fa7d08a94:g:jX0AAOSwW5NmTAko&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fcfZdIC944TE%2F5BfT5716aRF%2FTmSprs5Xc6qryx%2Fq4444UlSLtSJWDeuL9YTZPTpgeNjJrNnHRK7A6OSih%2FuHYQOCCJC6zBBg0KcMPSKYo3I7Rrxl1LHkQHKUzVX6V1vEEOthXsBPdrfmNfJOqugt4uOJ%2BblYigzTnRj%2F3z%2BzAaH4Sa3vmrXdaKitO62pCLd%2FRQjskhr0%2BcpdtxPvk9ieL9XDgmsQyDRiWx3HfY8gy2ePWCn54mW9Qkc42pppeo1mLZfpUvACyAABsw1dKJghm%7Ctkp%3ABk9SR-Da5ZXDZQ,not found
"HP 15 Laptop 15.6"" HD Pentium Quad-Core N200 16GB 128GB SSD Webcam Win 11 Red",https://www.ebay.com/itm/305542356538?_skw=laptop&itmmeta=01JRCNSDMA2CR7BHJ88YXSPBYE&hash=item4723be5e3a:g:E9YAAOSwFklmMoOx&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eqUOXt1g%2FoxUN2k4heBS07srghgsW85eYKQ0Dzz0m6EU2%2BPwTKDbSdl%2Bs5bNRZqyfwbAHBvACH%2BmzDCP0%2B8UAOquCiGEHEeVeNnAy3Vv911LyFCMpfv8tqARMNLAQl99dnF93TFm8sbaYsuEBYLvz%2Bmpx3kr%2Bu58Li6G5C3eqUo8w4mYInTna30yu2ucWl3xaR6mmZ%2BFoxtKycyGTLpj5Bw2J%2FY5FQxisCW9AjEjrCLEc9vKy4SX8WlOvNO7s%2B3rFWNNygj%2Fx2bcz59KhlUVkM%7Ctkp%3ABk9SR-Da5ZXDZQ,not found
