name,price,link
"Apple MacBook Air A1466 13.3"" Intel I5 CPU 4GB RAM 120 SSD",$109.99,https://www.ebay.com/itm/296971632079?_skw=macbook&itmmeta=01JRJ5T8EWMD0NH47E01S3H6BZ&hash=item4524e37dcf:g:shMAAOSw5WZlCicA&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1ftMAkM2OMKhMCVIePSG6nKoiRKrEgcLwYxE7BKkunaj4PzhAObN0yjuY30mkgcM6y26LxQQQe7MuhgLs%2FNAKBPIERa75lUxBjzlNaUElUro4ziQCMqPHf5QJba9Rj%2F7Mp0vUDEyvT5BYAzo1%2F385gwBedUXMnB41SyaJjGllqt%2FRklsfzV22S31rXpd5ghY4d%2FDBLXDFyEG%2F9ZZVijryW%2BI28e41tnB7DJwHSm2msGuKLBdbAXVHtp7w6DQrfrH0kQNqQdx8w3FSVxFDseZBIm%7Ctkp%3ABFBM2IfpxcRl
"Apple 2019 MacBook Air 13"" 1.6GHz Dual-Core i5 16GB RAM 128GB SSD - Very good",$329.99,https://www.ebay.com/itm/296913994480?_skw=macbook&epid=5037481080&itmmeta=01JRJ5T8EWHRP35RV98X5JXD6P&hash=item45217402f0:g:ka8AAOSw1aVncwRv&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eFPeJzF%2BcIqap5X81w8JmAXQuVT7YI7hVh1BEcWn8VHuzPs3rhZF1Qep2eLaBRupOoCR0A5MWolsABdDDYe%2B6awuBHDF98wXfoJZQ5Poz%2F4CmM77zImqdEqEPplg3cGQ%2FU7me6hFuFZmbRNn9MRpPF7P5FkcUC7aLfz9L7s4y4buKFp068xQnXfVukOLOyYAWMXXoanWr5lJBgLfsdUQBreeDKnieCFGQZypj6uyRE1ogFbCIQ9NqvqGTvxRrsE1iXTzJxMr7cDhnbc07BgmJx%7Ctkp%3ABFBM2IfpxcRl
"APPLE MACBOOK A1278 INTEL I5 MAC OS CATALINA 500GB STORAGE 8GB RAM 13"" HD DVD",$142.66,https://www.ebay.com/itm/156842529101?_skw=macbook&itmmeta=01JRJ5T8EW79RYTRM3DRK77VYQ&hash=item24848b114d:g:wWcAAOSwCkVn6owk&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eLnCflgSqy2ND%2BLPCf%2FSSpGZaQoCvY2K8gSRE0fbiMZxG3Wi4hsmckpzi7fS59POKmnaXismoL6rLS4j%2BocPW08KnGUP2fww7UpULOTZEVnWqAy4oWtbl1bGZ4X51gs%2BXCeNWevHjHyzESn5SOzu2Z7otwMJNJcbXfbKkK5qKySHGWlaUas7515AvEKCrAcMx9Zidka8SrWwji7N5x2N9j2LAVSJIsbQ7IL1c093AQuTAXO4x1YjPCQrb3%2FrfJ3kcvcRbFHgzQf6uKiCJonTcD%7Ctkp%3ABFBM2ofpxcRl
"Apple Macbook Air A1466 | 4GB RAM | 250GB SSD | Intel core i5 | EMC 2632 13""",$166.89,https://www.ebay.com/itm/146501627160?_skw=macbook&itmmeta=01JRJ5T8EWPCWN4P765N8CWK8S&hash=item221c2d6d18:g:EZ4AAOSwywRnkk0f&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fN0GBsmJoDjAlcEeceEszuNfxJdEiAPsW3iDwOhmC8tZl0817ntQh%2BYbJwuyGVxS9ovCq4iJqjFwbDWuzs4L%2B%2FNcP9gZ16kJXuePWqq9jBGKA08XMVJ%2BF%2B2HG3OVLUVH%2B2Ar%2BfJclaSZe0KT4HRUkrMKFqR2l2jJ86uIc5eJ9BcNEgqe%2FAaUwoNyB2RxHIgcV4YjXB0Y5mNY6kvfKSGtLV%2BlWviU%2FVCO%2Brr%2BfSik5bSg%3D%3D%7Ctkp%3ABk9SR9qH6cXEZQ
Apple MacBook Air M3 15.3in 8-CoreCPU 10-CoreGPU 2024 8GB RAM 256GB SSD,$789.00,https://www.ebay.com/itm/146323377617?_skw=macbook&itmmeta=01JRJ5T8EW59ETB2WBNA7T4C13&hash=item22118d8dd1:g:DTgAAOSwalJn7VX7&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cJ2WLuh2Yx4fhGOjYK2kcOGMdsm%2F1itDqpFirMvjdkn92jvbb2NKcxfbR%2FPsU%2B3muiiioVdNJA3fK24xquFwNeI2IQPEpn0OAY5ENAcJmW%2Fsyo04JHRXmOeuiKoObVVA5lXiB5yWt9C%2BzICh03lA4jr4RAYMNw3aV36IvnFFFrMfTiHhLEcRKoSrGmbDbqHoB02oQwOvZW5liYTXNz%2FVMfV%2BHlAV3bsXtsIdVhO67HjN9VmtuZ4lrqTeVwq9rIWBYWdg2SyqR%2B6k6a4iB28ENq%7Ctkp%3ABk9SR9qH6cXEZQ
"Apple MacBook Pro MLH12LL/A 13"" Laptop - Core i5 - 2.9Ghz - 8GB RAM- 256GB SSD",$229.99,https://www.ebay.com/itm/276515343674?_skw=macbook&epid=14048212222&itmmeta=01JRJ5T8EXSYJP83J281XZTB9S&hash=item4061994d3a:g:4H0AAOSwmb1mHJJo&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1eQ4RYhYcE%2FgT6%2FpIXA6Thepv0CyS8IsuniksnbslC0dD6i793keUYGRXOhcHgBI9LIl6mp%2FmXwji6J7pCcFToVDxL54UX505bvND2aVNXxBYP37bN--3GphwkngWlw%2BJisNoXQAwmGfovM2iTui8HLw5gGCeJDFIPObQznl0ecSLMxN5Os1A%2BniUkIc0g9H%2BJJKyfJR4Dkz7pv8xotsodvbHip1MYt5nTpNcLGkicdrA%3D%3D%7Ctkp%3ABk9SR9qH6cXEZQ
"Apple MacBook Pro M3 14.2"" 8-CoreCPU 10-CoreGPU 2023 8GB RAM 512GB SSD Excellent",$899.00,https://www.ebay.com/itm/146312181995?_skw=macbook&itmmeta=01JRJ5T8EXQJT1GPXBAGQNHMHX&hash=item2210e2b8eb:g:RmQAAOSwid1n3E41&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fOW5bJtTIhheYsxIha9keJkjqhKsGt0MTUNeN4AzuSC%2FUhXcJXSkTVKnsQ1SjS10Qm6ZXT5tgCp7ON6Iz8x4gzOq5wYgk0nfKTPt1UknW%2BkYTM5UASFnM36UnJqHzweY5ZbD1%2FwjKY88x1TShxntKS%2BxgzXcOij3q9ph1DF5YyWYQvO57BSGoF5zUbu0Valv%2BbCpq6JL6j8ziNuzZQ11y1PhENEZ7%2FUyo5zupzgbmJ9A%3D%3D%7Ctkp%3ABk9SR9qH6cXEZQ
Apple Macbook Unibody 2010-2009 A1342 13.3” Intel Core 2 Duo 4GB RAM 250GB HDD,$85.00,https://www.ebay.com/itm/167442057495?_skw=macbook&itmmeta=01JRJ5T8EXDYYHHGT7Q5NPHQ7X&hash=item26fc530917:g:1KcAAOSwn-Rn-Bbb&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1c15ij30okmd7cTbTHogoKhMLactr8ZrT%2FCP2ZwWoV1ZkOQwVdy1cl6kJfQQ4XmZQQ2BgrPb5TW394TjxnMLKIc88q4tNniqohoP41GQJga3rk2cHQ967kLs3F15z3v%2BxORJlNQr7deZ5Wu52qmSzj7MvMnPj3KS6Zu4sKqmeCcPu5t6GzZw06wXyNuFuhkICNFYSA24VsD6V36AK5iK1XdOhUV724E1GbUNQV8n0kXpoGOAg0wwb4FgfV0FHNaCHjxcNpSVOnczMROqZs8gY9t%7Ctkp%3ABk9SR9qH6cXEZQ
"Apple MacBook Pro 16�� Core i7 2.6GHz 16GB 512GB SSD Space Gray MVVJ2LL/A, Good",$396.99,https://www.ebay.com/itm/276459535808?_skw=macbook&epid=18035226370&itmmeta=01JRJ5T8EX9C0R16Q7QJYABVRA&hash=item405e45bdc0:g:IzkAAOSwwFRmPHF7&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1d9iJGlkwvK3QLlQk%2BfKzRuyxuKvxwdg9fjqQVl0m9h2oV1uhcLQNg70cd2HMgjTNYdnt9m5Z7tJCvEtecrt1bZollPV7uVzCxa1IK6Oc6908P0dTJm3lMIYkaGQPCqu6zenBnlkamF5NSN01fZGifEpJi64gWr2ITL38emDrtkn6EFkDTFhWw%2BPmR%2BmslweM1Xk6wTn9ZdxwAtyt0QR4agU7RT6GzHSEnOlvs4tlJTN6EHzAb1AY%2FUxxTIHOVCDGOC3QYdHaHYHEs1plzk4hHx%7Ctkp%3ABk9SR9qH6cXEZQ
Apple 2024 MacBook Pro 14-inch M4 Pro 24GB RAM 512GB SSD Silver MX2E3LL/A,"$1,619.00",https://www.ebay.com/itm/365382693945?_skw=macbook&itmmeta=01JRJ5T8EXWHNSCMCE441GDDG5&hash=item5512817439:g:gjYAAOSwH~NnpU34&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1d%2F1xkA1zjPPRgcfA7I%2FM3V%2FoRyE4tHvxVlO18gII7STBUhsdS%2BnNexLr4tXIlo6wzvqwNkYhDkYLx0zxhjndskZKqLwOwnnQi%2Fq3kvldjOLBfVBr7BLZc9nO72tvO0a4AFE5o%2FLGNGLvDRz1E%2FBLgTTFrWGEUTdXir5gYnxe3DnzMzWL1YQYpI3G4IPGWNrtRV4kPICgF1d0GRyaR2jdJKk3eoBzvqCFYivmi8LXtFNA%3D%3D%7Ctkp%3ABk9SR9qH6cXEZQ
